;ImageID;Xc;Yc;Orientation;Class;Full_Contain;Occlude;X1;X2;X3;X4;Y1;Y2;Y3;Y4;Xmin;Ymin;Xmax;Ymax;Xmin_rel;Ymin_rel;Xmax_rel;Ymax_rel
0;00000000.txt;290.348971;504.611640;3.012318;2;1;0;277;303;304;279;502;498;508;511;277;498;304;511;0.541015625;0.97265625;0.59375;0.998046875
1;00000001.txt;172.413736;406.184469;-0.013888;1;1;0;163;182;181;164;403;403;410;410;163;403;182;410;0.318359375;0.787109375;0.35546875;0.80078125
2;00000001.txt;206.608929;405.621843;-0.011363;9;1;0;196;218;218;195;402;402;409;410;195;402;218;410;0.380859375;0.78515625;0.42578125;0.80078125
3;00000002.txt;303.293673;423.169296;1.446441;5;1;0;297;308;310;299;414;413;433;434;297;413;310;434;0.580078125;0.806640625;0.60546875;0.84765625
4;00000003.txt;438.593124;445.611015;0.013333;5;1;0;420;458;457;420;440;440;452;451;420;440;458;452;0.8203125;0.859375;0.89453125;0.8828125
5;00000004.txt;146.030349;312.247893;0.088377;1;1;0;136;156;156;136;308;310;316;315;136;308;156;316;0.265625;0.6015625;0.3046875;0.6171875
6;00000004.txt;167.377063;235.320659;1.536327;5;1;0;163;173;173;161;254;254;218;217;161;217;173;254;0.314453125;0.423828125;0.337890625;0.49609375
7;00000006.txt;10.171350;366.109277;2.663762;1;1;0;16;19;5;2;360;365;373;367;2;360;19;373;0.00390625;0.703125;0.037109375;0.728515625
8;00000006.txt;5.420281;147.562357;1.951303;1;1;0;5;11;5;1;139;143;156;153;1;139;11;156;0.001953125;0.271484375;0.021484375;0.3046875
9;00000006.txt;12.267409;166.380316;1.762844;1;1;0;11;17;15;6;157;158;177;175;6;157;17;177;0.01171875;0.306640625;0.033203125;0.345703125
10;00000006.txt;44.220678;174.904293;0.668289;1;1;0;39;53;50;35;167;178;183;172;35;167;53;183;0.068359375;0.326171875;0.103515625;0.357421875
11;00000006.txt;45.943062;89.318003;3.013269;1;1;5;38;53;55;39;87;85;92;94;38;85;55;94;0.07421875;0.166015625;0.107421875;0.18359375
12;00000006.txt;63.549965;90.901692;-1.346085;5;1;0;61;71;68;56;82;83;101;99;56;82;71;101;0.109375;0.16015625;0.138671875;0.197265625
13;00000006.txt;76.405798;93.696438;1.354711;1;1;0;71;78;82;76;84;84;104;105;71;84;82;105;0.138671875;0.1640625;0.16015625;0.205078125
14;00000007.txt;49.594390;481.053075;1.742424;11;1;0;48;55;52;44;472;472;491;491;44;472;55;491;0.0859375;0.921875;0.107421875;0.958984375
15;00000007.txt;61.534805;489.128385;-1.497756;4;1;0;58;67;66;56;479;480;501;499;56;479;67;501;0.109375;0.935546875;0.130859375;0.978515625
16;00000007.txt;116.060404;494.373886;-1.365401;11;1;0;114;122;118;111;485;486;505;502;111;485;122;505;0.216796875;0.947265625;0.23828125;0.986328125
17;00000007.txt;125.999247;505.831164;-1.214577;4;1;0;123;133;128;121;499;502;512;511;121;499;133;512;0.236328125;0.974609375;0.259765625;1.0
18;00000008.txt;500.125336;48.358863;-1.348266;5;1;0;498;510;503;490;30;33;67;64;490;30;510;67;0.95703125;0.05859375;0.99609375;0.130859375
19;00000009.txt;63.248436;50.559453;-1.426642;5;1;0;61;71;67;56;35;36;67;65;56;35;71;67;0.109375;0.068359375;0.138671875;0.130859375
20;00000009.txt;77.787150;36.555250;1.600200;11;1;1;74;82;83;74;49;50;24;24;74;24;83;50;0.14453125;0.046875;0.162109375;0.09765625
21;00000009.txt;108.959040;62.993141;-1.559433;10;1;0;105;113;113;105;52;52;75;74;105;52;113;75;0.205078125;0.1015625;0.220703125;0.146484375
22;00000009.txt;119.007857;63.313848;-1.603043;10;1;0;114;124;124;115;52;52;75;75;114;52;124;75;0.22265625;0.1015625;0.2421875;0.146484375
23;00000010.txt;420.941466;83.716083;-0.000000;4;1;0;411;428;432;413;77;76;92;91;411;76;432;92;0.802734375;0.1484375;0.84375;0.1796875
24;00000010.txt;383.478184;42.205518;3.127509;4;1;0;375;393;392;375;36;36;49;49;375;36;393;49;0.732421875;0.0703125;0.767578125;0.095703125
25;00000010.txt;461.808504;45.315286;-2.860755;4;1;0;454;457;470;467;43;52;48;40;454;40;470;52;0.88671875;0.078125;0.91796875;0.1015625
26;00000010.txt;263.265869;109.607100;0.244979;2;1;0;245;285;282;242;100;109;120;110;242;100;285;120;0.47265625;0.1953125;0.556640625;0.234375
27;00000010.txt;248.914547;123.745283;0.157622;5;1;0;231;269;267;230;115;122;132;127;230;115;269;132;0.44921875;0.224609375;0.525390625;0.2578125
28;00000010.txt;329.978201;141.506820;1.022247;1;1;0;330;335;331;325;137;145;147;138;325;137;335;147;0.634765625;0.267578125;0.654296875;0.287109375
29;00000010.txt;400.219485;147.172471;-1.585947;4;1;0;395;405;406;395;139;139;156;155;395;139;406;156;0.771484375;0.271484375;0.79296875;0.3046875
30;00000010.txt;468.636925;171.470254;-3.095471;4;1;0;460;478;476;461;166;166;178;176;460;166;478;178;0.8984375;0.32421875;0.93359375;0.34765625
31;00000010.txt;460.466618;150.440594;3.141592;4;1;0;451;469;470;452;145;145;156;156;451;145;470;156;0.880859375;0.283203125;0.91796875;0.3046875
32;00000011.txt;38.913724;245.173979;1.578548;2;1;0;34;45;45;33;229;229;262;261;33;229;45;262;0.064453125;0.447265625;0.087890625;0.51171875
33;00000011.txt;13.359567;210.215133;1.701602;10;1;0;7;22;21;4;202;202;221;218;4;202;22;221;0.0078125;0.39453125;0.04296875;0.431640625
34;00000011.txt;150.455037;99.874371;2.861293;23;1;0;142;158;160;143;99;94;101;106;142;94;160;106;0.27734375;0.18359375;0.3125;0.20703125
35;00000011.txt;165.844528;148.417768;3.000836;11;1;0;153;177;179;155;146;143;151;155;153;143;179;155;0.298828125;0.279296875;0.349609375;0.302734375
36;00000011.txt;216.572854;163.332277;2.257748;2;1;0;203;212;231;221;172;178;155;150;203;150;231;178;0.396484375;0.29296875;0.451171875;0.34765625
37;00000011.txt;268.151145;55.253184;2.616226;11;1;0;275;279;261;259;47;54;63;58;259;47;279;63;0.505859375;0.091796875;0.544921875;0.123046875
38;00000011.txt;338.353828;48.413410;2.811109;2;1;0;320;323;358;354;50;59;47;38;320;38;358;59;0.625;0.07421875;0.69921875;0.115234375
39;00000011.txt;396.966892;41.858626;2.747430;2;1;0;381;385;413;410;44;52;40;33;381;33;413;52;0.744140625;0.064453125;0.806640625;0.1015625
40;00000012.txt;454.487292;98.259741;1.443824;11;1;0;450;457;460;452;87;87;110;111;450;87;460;111;0.87890625;0.169921875;0.8984375;0.216796875
41;00000013.txt;213.661987;67.464878;0.337878;1;1;0;206;225;221;204;61;67;75;68;204;61;225;75;0.3984375;0.119140625;0.439453125;0.146484375
42;00000013.txt;169.908270;79.330292;-2.434680;2;1;0;162;185;179;154;65;86;94;73;154;65;185;94;0.30078125;0.126953125;0.361328125;0.18359375
43;00000014.txt;190.289081;318.982252;-0.288055;1;1;0;180;199;202;181;319;313;320;325;180;313;202;325;0.3515625;0.611328125;0.39453125;0.634765625
44;00000015.txt;223.620110;306.912134;-0.322697;2;1;0;262;265;188;181;290;298;326;315;181;290;265;326;0.353515625;0.56640625;0.517578125;0.63671875
45;00000016.txt;53.765717;341.544926;2.840247;1;1;0;44;62;65;46;341;334;344;348;44;334;65;348;0.0859375;0.65234375;0.126953125;0.6796875
46;00000017.txt;423.594023;407.648034;-0.343806;11;1;0;412;432;436;416;408;401;408;415;412;401;436;415;0.8046875;0.783203125;0.8515625;0.810546875
47;00000018.txt;312.037061;434.666368;-0.285329;1;1;0;301;320;323;305;435;429;436;441;301;429;323;441;0.587890625;0.837890625;0.630859375;0.861328125
48;00000019.txt;24.463781;24.759191;-0.299532;5;1;0;6;40;44;10;26;15;25;35;6;15;44;35;0.01171875;0.029296875;0.0859375;0.068359375
49;00000019.txt;49.770946;15.867484;-0.238936;1;1;1;39;58;62;42;15;10;17;22;39;10;62;22;0.076171875;0.01953125;0.12109375;0.04296875
50;00000020.txt;153.626420;145.962931;-0.340097;1;1;0;144;161;163;147;145;141;146;153;144;141;163;153;0.28125;0.275390625;0.318359375;0.298828125
51;00000021.txt;384.099231;60.831032;3.101292;2;1;0;369;399;401;368;57;55;66;67;368;55;401;67;0.71875;0.107421875;0.783203125;0.130859375
52;00000021.txt;383.322014;15.411039;3.129545;1;1;0;374;394;394;373;11;11;20;20;373;11;394;20;0.728515625;0.021484375;0.76953125;0.0390625
53;00000022.txt;32.733412;282.738190;3.141592;11;1;0;21;45;45;21;279;278;288;287;21;278;45;288;0.041015625;0.54296875;0.087890625;0.5625
54;00000025.txt;76.816869;353.466764;1.557810;1;1;0;72;82;82;73;344;344;364;363;72;344;82;364;0.140625;0.671875;0.16015625;0.7109375
55;00000025.txt;201.731346;353.280325;-1.631328;9;1;0;196;206;208;197;342;341;366;366;196;341;208;366;0.3828125;0.666015625;0.40625;0.71484375
56;00000025.txt;235.062380;416.606528;0.027579;2;1;0;217;254;253;218;411;412;422;422;217;411;254;422;0.423828125;0.802734375;0.49609375;0.82421875
57;00000025.txt;251.935157;500.970409;3.122547;2;1;0;239;265;265;239;497;496;506;506;239;496;265;506;0.466796875;0.96875;0.517578125;0.98828125
58;00000025.txt;310.383945;386.403326;-2.991566;1;1;0;302;322;320;298;381;384;393;389;298;381;322;393;0.58203125;0.744140625;0.62890625;0.767578125
59;00000025.txt;310.663605;355.454366;0.047135;2;1;0;298;324;324;297;350;352;361;360;297;350;324;361;0.580078125;0.68359375;0.6328125;0.705078125
60;00000025.txt;258.177281;352.884542;-1.581665;9;1;0;254;263;263;254;342;342;365;365;254;342;263;365;0.49609375;0.66796875;0.513671875;0.712890625
61;00000025.txt;403.462541;44.342946;0.065695;5;1;1;394;414;413;394;38;40;50;50;394;38;414;50;0.76953125;0.07421875;0.80859375;0.09765625
62;00000025.txt;403.835420;60.936063;0.051901;5;1;1;395;414;414;394;56;56;67;66;394;56;414;67;0.76953125;0.109375;0.80859375;0.130859375
63;00000026.txt;110.910927;140.226347;-0.194200;31;1;0;84;131;137;92;130;121;151;160;84;121;137;160;0.1640625;0.236328125;0.267578125;0.3125
64;00000027.txt;17.186408;110.299270;-1.496308;1;1;0;13;23;20;14;102;102;120;117;13;102;23;120;0.025390625;0.19921875;0.044921875;0.234375
65;00000027.txt;17.405821;134.983133;-1.558297;1;1;0;13;22;22;13;125;126;147;144;13;125;22;147;0.025390625;0.244140625;0.04296875;0.287109375
66;00000027.txt;148.394851;139.481081;-1.501463;1;1;0;146;153;152;144;131;131;149;148;144;131;153;149;0.28125;0.255859375;0.298828125;0.291015625
67;00000027.txt;254.350986;148.133763;-1.482140;23;1;0;250;262;259;247;131;132;166;164;247;131;262;166;0.482421875;0.255859375;0.51171875;0.32421875
68;00000027.txt;351.331139;181.264992;-3.121595;11;1;0;340;365;363;338;176;177;187;186;338;176;365;187;0.66015625;0.34375;0.712890625;0.365234375
69;00000027.txt;347.940641;204.909292;-3.125594;11;1;0;333;363;364;332;201;201;210;209;332;201;364;210;0.6484375;0.392578125;0.7109375;0.41015625
70;00000027.txt;315.248237;274.572638;-3.110353;11;1;0;304;327;328;303;270;271;280;279;303;270;328;280;0.591796875;0.52734375;0.640625;0.546875
71;00000027.txt;425.612528;276.218229;0.934288;1;1;0;423;436;428;416;265;282;289;271;416;265;436;289;0.8125;0.517578125;0.8515625;0.564453125
72;00000027.txt;451.832275;213.795483;-3.131789;23;1;1;438;465;464;440;210;210;218;218;438;210;465;218;0.85546875;0.41015625;0.908203125;0.42578125
73;00000027.txt;439.874316;252.412014;-1.627340;11;1;0;428;453;452;427;248;250;257;256;427;248;453;257;0.833984375;0.484375;0.884765625;0.501953125
74;00000027.txt;510.604409;39.634474;1.514253;1;0;1;507;514;515;508;33;33;47;46;507;33;515;47;0.990234375;0.064453125;1.005859375;0.091796875
75;00000027.txt;412.307784;356.467401;1.064846;11;1;0;411;421;414;404;346;364;368;349;404;346;421;368;0.7890625;0.67578125;0.822265625;0.71875
76;00000027.txt;295.152996;387.075391;-0.629645;9;1;0;302;306;289;284;377;385;397;390;284;377;306;397;0.5546875;0.736328125;0.59765625;0.775390625
77;00000027.txt;115.880183;278.739046;0.079478;5;1;0;103;131;129;101;273;274;286;282;101;273;131;286;0.197265625;0.533203125;0.255859375;0.55859375
78;00000027.txt;55.761264;252.848418;0.151605;1;1;0;66;64;46;48;251;258;255;248;46;248;66;258;0.08984375;0.484375;0.12890625;0.50390625
79;00000027.txt;50.605080;337.102668;0.725470;1;1;0;47;60;55;41;329;341;346;334;41;329;60;346;0.080078125;0.642578125;0.1171875;0.67578125
80;00000029.txt;275.528234;22.160567;-1.524852;1;1;0;272;280;280;271;11;12;33;33;271;11;280;33;0.529296875;0.021484375;0.546875;0.064453125
81;00000030.txt;189.147280;41.100490;-3.130604;11;1;0;178;201;201;178;37;37;46;45;178;37;201;46;0.34765625;0.072265625;0.392578125;0.08984375
82;00000030.txt;165.169458;66.643001;-0.343806;11;1;1;173;178;158;153;59;67;74;67;153;59;178;74;0.298828125;0.115234375;0.34765625;0.14453125
83;00000030.txt;227.814696;26.468100;1.597457;1;1;0;225;232;232;224;17;17;36;36;224;17;232;36;0.4375;0.033203125;0.453125;0.0703125
84;00000030.txt;297.587982;269.372376;0.000000;1;1;0;289;307;307;289;266;266;273;273;289;266;307;273;0.564453125;0.51953125;0.599609375;0.533203125
85;00000030.txt;139.911687;393.946106;2.990846;1;1;0;129;150;150;132;392;389;397;399;129;389;150;399;0.251953125;0.759765625;0.29296875;0.779296875
86;00000030.txt;168.329846;389.463480;2.761086;1;1;0;157;177;180;160;390;382;389;397;157;382;180;397;0.306640625;0.74609375;0.3515625;0.775390625
87;00000031.txt;138.200769;424.554412;3.129965;11;1;0;127;149;149;128;421;420;430;429;127;420;149;430;0.248046875;0.8203125;0.291015625;0.83984375
88;00000032.txt;161.171010;170.986331;-1.601556;1;1;0;157;165;167;157;163;163;179;180;157;163;167;180;0.306640625;0.318359375;0.326171875;0.3515625
89;00000032.txt;156.210335;321.764741;1.391879;11;1;0;150;159;163;154;311;309;333;335;150;309;163;335;0.29296875;0.603515625;0.318359375;0.654296875
90;00000032.txt;35.457063;360.536332;3.052089;1;1;0;26;45;46;26;358;356;364;365;26;356;46;365;0.05078125;0.6953125;0.08984375;0.712890625
91;00000033.txt;114.514067;381.208814;1.563550;5;1;0;107;122;123;107;364;364;399;398;107;364;123;399;0.208984375;0.7109375;0.240234375;0.779296875
92;00000033.txt;248.195244;260.724497;-0.132552;5;1;0;225;269;273;227;258;252;264;270;225;252;273;270;0.439453125;0.4921875;0.533203125;0.52734375
93;00000033.txt;244.467886;276.641322;-0.141897;5;1;0;226;261;265;226;273;270;279;286;226;270;265;286;0.44140625;0.52734375;0.517578125;0.55859375
94;00000033.txt;301.339487;449.590097;1.570796;1;1;0;297;306;306;297;442;442;458;458;297;442;306;458;0.580078125;0.86328125;0.59765625;0.89453125
95;00000033.txt;313.125995;446.970872;-1.602365;1;1;0;308;318;319;309;436;435;458;460;308;435;319;460;0.6015625;0.849609375;0.623046875;0.8984375
96;00000033.txt;499.235584;453.385325;-1.479100;1;1;1;495;506;505;492;442;443;465;464;492;442;506;465;0.9609375;0.86328125;0.98828125;0.908203125
97;00000033.txt;512.210000;460.609500;-1.570789;1;0;1;508;516;517;507;449;449;472;472;507;449;517;472;0.990234375;0.876953125;1.009765625;0.921875
98;00000035.txt;26.140629;324.787479;2.797787;11;1;0;14;35;38;19;325;318;325;332;14;318;38;332;0.02734375;0.62109375;0.07421875;0.6484375
99;00000035.txt;31.926244;336.394870;2.806856;1;1;0;22;39;42;25;337;330;337;342;22;330;42;342;0.04296875;0.64453125;0.08203125;0.66796875
100;00000035.txt;254.763332;166.904738;-0.366256;5;1;0;244;262;266;248;166;160;167;175;244;160;266;175;0.4765625;0.3125;0.51953125;0.341796875
101;00000035.txt;349.006777;312.155961;1.426871;1;1;0;345;351;354;347;304;303;321;321;345;303;354;321;0.673828125;0.591796875;0.69140625;0.626953125
102;00000036.txt;195.589293;103.001059;1.435269;1;1;0;191;199;202;192;95;95;111;112;191;95;202;112;0.373046875;0.185546875;0.39453125;0.21875
103;00000036.txt;229.790278;407.840192;1.379612;11;1;0;224;231;237;228;397;396;419;421;224;396;237;421;0.4375;0.7734375;0.462890625;0.822265625
104;00000037.txt;85.228679;6.833589;-0.291457;1;1;0;93;95;78;76;1;8;12;7;76;1;95;12;0.1484375;0.001953125;0.185546875;0.0234375
105;00000037.txt;116.598633;156.054042;-1.520838;10;1;1;113;122;122;110;141;141;171;171;110;141;122;171;0.21484375;0.275390625;0.23828125;0.333984375
106;00000037.txt;115.434708;120.346481;-1.649580;23;1;0;110;120;121;112;111;111;130;130;110;111;121;130;0.21484375;0.216796875;0.236328125;0.25390625
107;00000037.txt;492.546410;346.473422;-1.363300;1;1;0;491;498;495;486;336;338;357;356;486;336;498;357;0.94921875;0.65625;0.97265625;0.697265625
108;00000037.txt;503.354287;348.967548;-1.202666;1;1;0;496;504;510;504;356;360;342;339;496;339;510;360;0.96875;0.662109375;0.99609375;0.703125
109;00000037.txt;438.073589;439.049515;1.658804;11;1;0;435;444;442;433;426;427;452;452;433;426;444;452;0.845703125;0.83203125;0.8671875;0.8828125
110;00000037.txt;203.176125;428.447389;-0.284074;23;1;1;185;220;221;188;429;419;429;438;185;419;221;438;0.361328125;0.818359375;0.431640625;0.85546875
111;00000037.txt;191.204323;446.321954;-0.656251;23;1;1;177;199;206;184;451;436;441;459;177;436;206;459;0.345703125;0.8515625;0.40234375;0.896484375
112;00000037.txt;123.777763;256.347950;2.125104;1;1;0;126;132;122;116;247;250;266;263;116;247;132;266;0.2265625;0.482421875;0.2578125;0.51953125
113;00000037.txt;136.497802;295.256304;-0.961136;1;1;0;139;145;133;129;286;289;305;302;129;286;145;305;0.251953125;0.55859375;0.283203125;0.595703125
114;00000037.txt;132.612550;116.357777;-1.570790;5;1;0;128;137;137;128;109;108;125;125;128;108;137;125;0.25;0.2109375;0.267578125;0.244140625
115;00000038.txt;91.041261;17.183957;1.917750;11;1;0;92;99;91;83;4;7;30;28;83;4;99;30;0.162109375;0.0078125;0.193359375;0.05859375
116;00000038.txt;478.657300;261.256300;-2.800000;1;1;0;471;489;487;468;254;262;268;262;468;254;489;268;0.9140625;0.49609375;0.955078125;0.5234375
117;00000038.txt;484.973000;243.540500;-2.800000;1;1;0;476;496;494;474;237;244;251;244;474;237;496;251;0.92578125;0.462890625;0.96875;0.490234375
118;00000038.txt;105.823999;65.613971;-1.262744;1;1;0;104;113;107;100;57;58;76;72;100;57;113;76;0.1953125;0.111328125;0.220703125;0.1484375
119;00000038.txt;345.425249;18.893382;0.271683;5;1;0;329;365;362;327;10;20;28;19;327;10;365;28;0.638671875;0.01953125;0.712890625;0.0546875
120;00000038.txt;283.177819;138.880961;0.014924;1;1;0;275;292;292;275;136;136;142;142;275;136;292;142;0.537109375;0.265625;0.5703125;0.27734375
121;00000038.txt;108.314760;108.616777;-2.838708;1;1;0;101;118;115;100;103;109;114;110;100;103;118;114;0.1953125;0.201171875;0.23046875;0.22265625
122;00000038.txt;419.201976;443.782410;-2.879473;11;1;0;410;431;428;408;438;444;450;445;408;438;431;450;0.796875;0.85546875;0.841796875;0.87890625
123;00000038.txt;466.528800;411.348641;1.885301;11;1;0;467;474;468;459;400;403;424;420;459;400;474;424;0.896484375;0.78125;0.92578125;0.828125
124;00000038.txt;368.121048;464.650802;0.179853;11;1;0;358;379;377;359;461;463;470;466;358;461;379;470;0.69921875;0.900390625;0.740234375;0.91796875
125;00000040.txt;145.076703;188.533171;3.078386;1;1;0;134;155;156;137;186;184;193;193;134;184;156;193;0.26171875;0.359375;0.3046875;0.376953125
126;00000040.txt;145.969060;211.120974;3.069429;1;1;0;135;156;157;136;208;207;214;216;135;207;157;216;0.263671875;0.404296875;0.306640625;0.421875
